"word","freq"
"power",205
"button",190
"says",176
"new",158
"northkorea",139
"weapons",127
"kimjongun",125
"reactor",123
"pakistan",120
"desk",118
"india",114
"kim",110
"bombs",110
"north",104
"keeping",104
"disarmament",102
"surviving",102
"unrealistic",102
"installations",96
"list",93
"will",91
"energy",88
"can",86
"uranium",86
"plant",82
"korea",82
"exchange",80
"thorium",75
"fukushima",70
"trump",68
"grid",65
"one",64
"generating",64
"leader",63
"want",59
"russias",57
"national",57
"warns",56
"war",54
"program",54
"jong",53
"auspol",52
"total",52
"news",51
"use",51
"via",50
"currently",50
"year",49
"safety",48
"iran",47
"japan",46
"security",45
"carlson",45
"world",44
"facilities",44
"wont",43
"launch",42
"located",42
"threatened",39
"always",39
"rostov",38
"talk",38
"now",38
"newyear",38
"climatechange",38
"latest",37
"start",37
"recognize",37
"agreement",37
"gundremmingen",37
"get",36
"dont",36
"covered",36
"ready",36
"need",35
"germanys",35
"unitedstates",35
"northkoreas",35
"usa",34
"plants",34
"atomic",34
"prohibition",34
"better",34
"money",33
"anybody",33
"concludes",33
"stops",33
"voa",32
"shut",32
"electricity",31
"nuclearnews",30
"controlled",30
"criticality",30
"minimum",30
"reached",30
"renewables",30
"china",30
"korean",29
"december",28
"amid",28
"today",28
"another",27
"matters",27
"kilometers",27
"phaseout",27
"carbonfree",26
"know",26
"means",26
"gave",26
"era",26
"force",26
"climate",25
"even",25
"south",25
"never",25
"ratify",25
"generation",24
"deal",24
"threat",24
"exchanged",24
"government",23
"happy",23
"environment",23
"yes",23
"years",23
"whats",23
"check",22
"jongun",22
"germany",22
"spread",22
"good",21
"youth",21
"cutting",21
"nagasaki",21
"terrorism",21
"hinkley",21
"apply",21
"stanton",21
"thought",21
"talks",20
"restart",20
"clean",20
"neither",20
"first",20
"radiation",20
"said",20
"japans",20
"reality",20
"research",20
"fellowship",20
"leaders",20
"tomorrows",20
"daily",20
"just",19
"like",19
"catch",19
"source",19
"northkorean",19
"update",19
"million",19
"involved",19
"accident",19
"genpatsu",18
"abe",18
"spent",18
"entire",18
"missiles",18
"srilanka",18
"trace",18
"claims",18
"answers",18
"preventing",18
"range",18
"ctbt",18
"lifecarlson",18
"ocean",18
"going",17
"thing",17
"fuel",17
"production",17
"makes",17
"olympics",17
"smugglers",17
"tool",17
"uses",17
"leading",17
"path",17
"eng",17
"coal",16
"country",16
"america",16
"starts",16
"still",16
"places",16
"bomb",16
"address",16
"hit",16
"important",16
"laying",16
"opioidcrisis",16
"sdgs",16
"solutions",16
"peterroche",16
"kimjong",16
"unless",15
"market",15
"forward",15
"looking",15
"read",15
"koreas",15
"tests",15
"taken",15
"wind",15
"green",15
"wish",15
"seiji",15
"annual",15
"hope",15
"man",14
"issue",14
"see",14
"united",14
"day",14
"much",14
"control",14
"australia",14
"angry",14
"ayatollah",14
"sends",14
"work",14
"say",14
"actually",14
"study",14
"solar",14
"siddiqi",14
"jonguns",14
"station",14
"way",14
"please",13
"thanks",13
"shows",13
"within",13
"public",13
"southkorea",13
"started",13
"anywhere",13
"hezbol",13
"half",13
"waste",13
"crisis",13
"nowhere",13
"rosatom",13
"reach",13
"donald",12
"last",12
"help",12
"produce",12
"epr",12
"made",12
"change",12
"final",12
"former",12
"dprk",12
"using",12
"increasing",12
"guardian",12
"science",12
"victims",12
"couldnt",12
"uni",12
"natural",12
"hiroshima",12
"hibaku",12
"treaty",12
"cover",12
"whole",12
"future",12
"clear",12
"obama",11
"time",11
"well",11
"really",11
"especially",11
"agree",11
"mass",11
"peace",11
"president",11
"isnt",11
"libya",11
"radioactive",11
"stocks",11
"startup",11
"newz",11
"jersey",11
"used",11
"emissions",11
"stop",11
"times",11
"atmospheric",11
"concentrations",11
"congratulations",11
"lower",11
"nytimes",11
"photo",11
"weapon",11
"prints",11
"nuclearjp",11
"unit",11
"west",11
"great",11
"thank",11
"election",11
"threats",11
"coherent",11
"english",11
"speaks",11
"trumpkimjongun",11
"stevia",11
"cash",11
"duhhhthen",11
"engineered",11
"foebama",11
"irandealnuclear",11
"slitherbackunderyourrock",11
"russia",10
"hold",10
"sway",10
"temperatures",10
"trumps",10
"construction",10
"chernobyl",10
"tell",10
"states",10
"factors",10
"taishan",10
"offered",10
"govt",10
"low",10
"keeps",10
"lights",10
"corrupt",10
"january",10
"everywhereclimatechange",10
"learn",10
"bombing",10
"fusion",10
"renewableenergy",10
"roadmap",10
"win",10
"affected",10
"held",10
"irradiated",10
"pls",10
"sharetokyo",10
"wastes",10
"third",10
"alerts",10
"military",10
"aira",10
"ash",10
"caldera",10
"circleto",10
"eruptionpyroclastic",10
"fall",10
"flowyellow",10
"plantampmassive",10
"sendai",10
"disaster",10
"mainland",10
"completed",10
"lftr",10
"nuclearb",10
"table",10
"breaking",10
"colas",10
"hoofhearted",10
"pro",10
"bigger",9
"envoy",9
"intrakorea",9
"recognition",9
"solved",9
"end",9
"threatens",9
"sinknuclear",9
"reactors",9
"thats",9
"yet",9
"people",9
"awesome",9
"big",9
"iraq",9
"canadaus",9
"trading",9
"next",9
"commissioning",9
"schedule",9
"homes",9
"chief",9
"map",9
"policy",9
"incentives",9
"reveals",9
"strike",9
"cold",9
"malaysia",9
"due",9
"highlights",9
"watch",9
"jacobsons",9
"mark",9
"areas",9
"countrys",9
"called",9
"launching",9
"iranian",9
"except",9
"mailing",9
"toying",9
"que",8
"show",8
"expansion",8
"fallout",8
"build",8
"fast",8
"cant",8
"young",8
"right",8
"monday",8
"allow",8
"letter",8
"nations",8
"every",8
"chainreaction",8
"unleashed",8
"preparation",8
"design",8
"support",8
"experts",8
"misguided",8
"billion",8
"missile",8
"largest",8
"megawatts",8
"ontario",8
"water",8
"problem",8
"iaea",8
"industry",8
"renewable",8
"horrors",8
"humanrights",8
"illustrating",8
"postcard",8
"sharepope",8
"navy",8
"obtain",8
"armed",8
"almost",8
"akieabe",8
"boost",8
"chancesshinzoabe",8
"pmabe",8
"newsen",8
"cards",8
"popefrancis",8
"sweet",8
"pictures",7
"potus",7
"fact",7
"part",7
"cop",7
"endorse",7
"refusal",7
"health",7
"physics",7
"may",7
"bailout",7
